observation_date,TCU
2003-05-01,75.6099
2003-06-01,75.7311
2003-07-01,76.1369
2003-08-01,75.9832
2003-09-01,76.4830
2003-10-01,76.5884
2003-11-01,77.1135
2003-12-01,77.1489
2004-01-01,77.2806
2004-02-01,77.7639
2004-03-01,77.4721
2004-04-01,77.7807
2004-05-01,78.3623
2004-06-01,77.7669
2004-07-01,78.3594
2004-08-01,78.4167
2004-09-01,78.5109
2004-10-01,79.1635
2004-11-01,79.3296
2004-12-01,79.9179
2005-01-01,80.1494
2005-02-01,80.6584
2005-03-01,80.4638
2005-04-01,80.5421
2005-05-01,80.5094
2005-06-01,80.7567
2005-07-01,80.3802
2005-08-01,80.5172
2005-09-01,78.8319
2005-10-01,79.6607
2005-11-01,80.4260
2005-12-01,80.7109
2006-01-01,80.7078
2006-02-01,80.6111
2006-03-01,80.6609
2006-04-01,80.7713
2006-05-01,80.6521
2006-06-01,80.7601
2006-07-01,80.5643
2006-08-01,80.7540
2006-09-01,80.4492
2006-10-01,80.1804
2006-11-01,79.9663
2006-12-01,80.5985
2007-01-01,80.1452
2007-02-01,80.7218
2007-03-01,80.6932
2007-04-01,81.0737
2007-05-01,81.0044
2007-06-01,80.9238
2007-07-01,80.7255
2007-08-01,80.8082
2007-09-01,80.9387
2007-10-01,80.6837
2007-11-01,81.1065
2007-12-01,81.1425
2008-01-01,81.0549
2008-02-01,80.7602
2008-03-01,80.5381
2008-04-01,80.0376
2008-05-01,79.5579
2008-06-01,79.3571
2008-07-01,79.0325
2008-08-01,77.7251
2008-09-01,74.2216
2008-10-01,74.8669
2008-11-01,73.7820
2008-12-01,71.6070
2009-01-01,69.7304
2009-02-01,69.2326
2009-03-01,68.0889
2009-04-01,67.4762
2009-05-01,66.7676
2009-06-01,66.5138
2009-07-01,67.2900
2009-08-01,68.0795
2009-09-01,68.7549
2009-10-01,69.0357
2009-11-01,69.4470
2009-12-01,69.8541
2010-01-01,70.7532
2010-02-01,71.1612
2010-03-01,71.7964
2010-04-01,72.1905
2010-05-01,73.3146
2010-06-01,73.5918
2010-07-01,74.0009
2010-08-01,74.3883
2010-09-01,74.7076
2010-10-01,74.5800
2010-11-01,74.7131
2010-12-01,75.4968
2011-01-01,75.3741
2011-02-01,75.0928
2011-03-01,75.8747
2011-04-01,75.6127
2011-05-01,75.6684
2011-06-01,75.8425
2011-07-01,76.1431
2011-08-01,76.5667
2011-09-01,76.3992
2011-10-01,76.8123
2011-11-01,76.6783
2011-12-01,76.9495
2012-01-01,77.2652
2012-02-01,77.3673
2012-03-01,76.8194
2012-04-01,77.2234
2012-05-01,77.2546
2012-06-01,77.1149
2012-07-01,77.1372
2012-08-01,76.6720
2012-09-01,76.4846
2012-10-01,76.6227
2012-11-01,76.7800
2012-12-01,76.8435
2013-01-01,76.7502
2013-02-01,77.0029
2013-03-01,77.2135
2013-04-01,77.0553
2013-05-01,77.0307
2013-06-01,77.1119
2013-07-01,76.8008
2013-08-01,77.1772
2013-09-01,77.5046
2013-10-01,77.3802
2013-11-01,77.4988
2013-12-01,77.5927
2014-01-01,77.2540
2014-02-01,77.7747
2014-03-01,78.4628
2014-04-01,78.4705
2014-05-01,78.6999
2014-06-01,78.8952
2014-07-01,78.9933
2014-08-01,78.7669
2014-09-01,78.9218
2014-10-01,78.8663
2014-11-01,79.2962
2014-12-01,79.2419
2015-01-01,78.5803
2015-02-01,78.0550
2015-03-01,77.7804
2015-04-01,77.3487
2015-05-01,77.0092
2015-06-01,76.7774
2015-07-01,77.2924
2015-08-01,77.1715
2015-09-01,76.9791
2015-10-01,76.6282
2015-11-01,76.0819
2015-12-01,75.7214
2016-01-01,76.1248
2016-02-01,75.7291
2016-03-01,75.1587
2016-04-01,75.3969
2016-05-01,75.2034
2016-06-01,75.5298
2016-07-01,75.5839
2016-08-01,75.4320
2016-09-01,75.3145
2016-10-01,75.2918
2016-11-01,74.9498
2016-12-01,75.4424
2017-01-01,75.2339
2017-02-01,74.9346
2017-03-01,75.4439
2017-04-01,76.2392
2017-05-01,76.3680
2017-06-01,76.5758
2017-07-01,76.4534
2017-08-01,76.2067
2017-09-01,76.3591
2017-10-01,77.3753
2017-11-01,77.6337
2017-12-01,77.8538
2018-01-01,77.9138
2018-02-01,78.1508
2018-03-01,78.5697
2018-04-01,79.4597
2018-05-01,78.7526
2018-06-01,79.3560
2018-07-01,79.4588
2018-08-01,79.9322
2018-09-01,79.9314
2018-10-01,79.7802
2018-11-01,79.7722
2018-12-01,79.7142
2019-01-01,79.1024
2019-02-01,78.5877
2019-03-01,78.5337
2019-04-01,77.9898
2019-05-01,77.9962
2019-06-01,77.9493
2019-07-01,77.4935
2019-08-01,77.9497
2019-09-01,77.6205
2019-10-01,76.9099
2019-11-01,77.2520
2019-12-01,77.0416
2020-01-01,76.5190
2020-02-01,76.7764
2020-03-01,73.7887
2020-04-01,64.0847
2020-05-01,65.1874
2020-06-01,69.5218
2020-07-01,72.2103
2020-08-01,73.0192
2020-09-01,73.1451
2020-10-01,73.8636
2020-11-01,74.2637
2020-12-01,75.3903
2021-01-01,75.9401
2021-02-01,73.5725
2021-03-01,75.8472
2021-04-01,76.1216
2021-05-01,76.9310
2021-06-01,77.3367
2021-07-01,77.7972
2021-08-01,77.7308
2021-09-01,76.8871
2021-10-01,77.9838
2021-11-01,78.5620
2021-12-01,78.3687
2022-01-01,78.0880
2022-02-01,78.5777
2022-03-01,79.0253
2022-04-01,79.0418
2022-05-01,78.9224
2022-06-01,78.6259
2022-07-01,78.7204
2022-08-01,78.5438
2022-09-01,78.6087
2022-10-01,78.4843
2022-11-01,78.1544
2022-12-01,77.1334
2023-01-01,77.6010
2023-02-01,77.6078
2023-03-01,77.8036
2023-04-01,77.8880
